bankName,country,totalAssets,date
Industrial & Commercial Bank of China,China,3615.17,31-03-2017
China Construction Bank Corp,China,3149.25,31-03-2017
Agricultural Bank of China,China,2950.21,31-03-2017
Bank of China,China,2746.05,31-03-2017
Mitsubishi UFJ Financial Group,Japan,2713.44,31-03-2017
JPMorgan Chase & Co,USA,2546.29,31-03-2017
HSBC Holdings,UK,2416.47,31-03-2017
BNP Paribas,France,2348.65,31-03-2017
Bank of America,USA,2247.7,31-03-2017
Wells Fargo,USA,1951.56,31-03-2017
Japan Post Bank,Japan,1874.9,31-03-2017
Credit Agricole Group,France,1869.92,31-03-2017
China Development Bank,China,1831.86,31-03-2017
Citigroup Inc,USA,1821.64,31-03-2017
Mizuho Financial Group,Japan,1793.84,31-03-2017
Sumitomo Mitsui Financial Group,Japan,1769.54,31-03-2017
Deutsche Bank,Germany,1672.27,31-03-2017
Barclays PLC,UK,1502.15,31-03-2017
Societe Generale,France,1497.47,31-03-2017
Banco Santander,Spain,1444.85,31-03-2017
Groupe BPCE,France,1323.76,31-03-2017
Bank of Communications,China,1267.78,31-03-2017
Postal Savings Bank of China,China,1231.95,31-03-2017
Lloyds Banking Group,UK,1020.01,31-03-2017
Royal Bank of Scotland Group,UK,977.408,31-03-2017
Norinchukin Bank,Japan,957.372,31-03-2017
ING Groep NV,Netherlands,945.608,31-03-2017
UniCredit S.p.A.,Italy,941.622,31-03-2017
Toronto-Dominion Bank,Canada,941.293,31-03-2017
UBS Group AG,Switzerland,909.208,31-03-2017
Royal Bank of Canada,Canada,904.45,31-03-2017
Industrial Bank Co. Ltd,China,904.22,31-03-2017
Goldman Sachs Group,USA,894.069,31-03-2017
China Merchants Bank,China,871.052,31-03-2017
China Minsheng Banking Corp,China,864.655,31-03-2017
Shanghai Pudong Development Bank,China,854.937,31-03-2017
China CITIC Bank Corp,China,834.934,31-03-2017
Morgan Stanley,USA,832.391,31-03-2017
Credit Suisse Group,Switzerland,811.622,31-03-2017
Intesa Sanpaolo,Italy,790.271,31-03-2017
Credit Mutuel,France,782.37,31-03-2017
BBVA,Spain,768.607,31-03-2017
Commonwealth Bank of Australia,Australia,743.871,31-03-2017
Rabobank Group,Netherlands,707.842,31-03-2017
Nordea,Sweden,694.95,31-03-2017
Australia & New Zealand Banking Group,Australia,686.298,31-03-2017
Bank of Nova Scotia,Canada,665.286,31-03-2017
Standard Chartered Plc,UK,646.692,31-03-2017
Westpac Banking Corp,Australia,643.032,31-03-2017
European Investment Bank,Luxembourg,612.616,31-03-2017
National Australia Bank,Australia,604.935,31-03-2017
